iter	RMSE
0	1.412350901
1	1.398770536
2	1.383254986
3	1.367993546
4	1.354084364
5	1.343575659
6	1.331864336
7	1.318548511
8	1.307034934
9	1.298759685
10	1.287698036
11	1.27622566
12	1.270621507
13	1.260949456
14	1.249503672
15	1.239423213
16	1.229683303
17	1.220653261
18	1.212377233
19	1.202262813
20	1.193441677
21	1.184702276
22	1.178876543
23	1.171163326
24	1.164957275
25	1.157146473
26	1.150014693
27	1.14343439
28	1.138452057
29	1.132392977
30	1.12715561
31	1.122987341
32	1.116728993
33	1.110962074
34	1.105514191
35	1.100132618
36	1.095501498
37	1.090742844
38	1.085917035
39	1.080566702
40	1.075685931
41	1.073087192
42	1.068604358
43	1.065673269
44	1.062135037
45	1.05684217
46	1.053210289
47	1.049860511
48	1.046529955
49	1.04216862
50	1.038211279
51	1.035550649
52	1.031999213
53	1.029655551
54	1.026434295
55	1.025078622
56	1.022254621
57	1.018871827
58	1.015884581
59	1.013030357
60	1.010073005
61	1.007968665
62	1.004400466
63	1.001424882
64	0.9978658974
65	0.9960104062
66	0.9928212156
67	0.9918719832
68	0.988627847
69	0.9855020416
70	0.9835223005
71	0.9810154701
72	0.9789646333
73	0.9763651072
74	0.9735328414
75	0.9711161804
76	0.9687843037
77	0.9661488417
78	0.9626131726
79	0.9618753881
80	0.9606024379
81	0.9587227315
82	0.9560526134
83	0.9545801966
84	0.9523831638
85	0.9512803656
86	0.9504729294
87	0.9493288487
88	0.9477880474
89	0.9464537502
90	0.945019494
91	0.9430858318
92	0.9405165763
93	0.9380479701
94	0.9368357518
95	0.9354226679
96	0.9332216223
97	0.9312577702
98	0.9297612246
99	0.9288873543
100	0.9268418159
101	0.9257477939
102	0.9246798042
103	0.9233918225
104	0.9222393108
105	0.9206979849
106	0.9191401034
107	0.917590924
108	0.9161199632
109	0.914921997
110	0.9129663049
111	0.910772771
112	0.9093829038
113	0.9081780864
114	0.9070802444
115	0.9059860766
116	0.9053432637
117	0.9041371447
118	0.9039140357
119	0.9031898762
120	0.9030970479
121	0.9014353482
122	0.8987190423
123	0.8978962956
124	0.8975790319
125	0.8966859048
126	0.8950968148
127	0.8940707206
128	0.8924050826
129	0.891597485
130	0.8903740282
131	0.8896056843
132	0.8890498653
133	0.8880051913
134	0.8871073852
